wineITM8,cheeseITM8,descriptionFr,descriptionEn,score,id
99056670,99041873,"Le Saint Félicien Mère Richard, avec ses notes lactées et fruitées, s'accorde parfaitement avec le vin blanc ALPILLES IGP TRADITION BLANC, offrant un équilibre frais et rafraîchissant.","The ST FELICIEN MERE RICHARD cheese pairs wonderfully with the ALPILLES IGP TRADITION BLANC wine, balancing its rich, creamy notes with a crisp, mineral-driven acidity for an unforgettable pairing.",0,30
52338035,99041873,"Ce Saint Félicien Mère Richard, doux et onctueux, se marie parfaitement avec le vin IGP CTE TARN BLC MOEL.EC75CL, offrant une harmonie de saveurs riches et équilibrées.","The luscious ST FELICIEN MERE RICHARD cheese pairs wonderfully with the robust IGP CTE TARN BLC MOEL.EC75CL wine, creating a delightful balance of flavors and textures.",0,31
99024946,99041873,"Le Saint Félicien Mère Richard, avec ses saveurs lactées et fruitées, se marie parfaitement au MAS GOURGONNIER ROSE TRADITION, offrant une harmonie de douceur et de fraîcheur.","The ST FELICIEN MERE RICHARD cheese, with its lactic and fruity notes, pairs wonderfully with the MAS GOURGONNIER ROSE TRADITION wine, enhancing its creaminess with fresh strawberry and mineral undertones. Try them together with crusty bread or a touch of honey for an elevated experience.",0,32
99056669,99041867,"Le Sechons de Chèvre se marie parfaitement avec le rosé IGP Alpilles Tradition, offrant un équilibre délicat entre la douceur onctueuse du fromage et la fraîcheur fruitée du vin. Ce pairing met en valeur les nuances florales et minérales de chaque produit.","The Sechons de Chèvre pairs beautifully with the Alpilles Rosé Tradition, creating a harmonious balance between the creamy richness of the cheese and the fresh fruity notes of the wine. Their complementary flavors enhance each other, making for a delightful pairing.",0,33
99037387,99041867,"Ce mariage harmonieux met en valeur la douceur et le fruité du rosé, qui allège la richesse du fromage tout en sublimant ses notes herbacées. Un équilibre parfait entre la texture onctueuse du Sechons de Chèvre et les nuances frais du Val de L'Oule Rosé Tendresse.","This harmonious pairing highlights the delicate fruitiness of the rosé, which lightens the richness of the cheese while enhancing its subtle herbal notes. A perfect balance between the luscious texture of Sechons de Chèvre and the fresh nuances of Val de L'Oule Rosé Tendresse.",0,34
99016143,99041867,"Le Sechons de Chèvre se marie à merveille avec le Grand Mas Lansac Rosé, offrant un équilibre entre la douceur fruitée du rosé et la richesse onctueuse du fromage. Ce duo est idéal pour des moments gourmands, apportant une harmony subtile et rafraîchissante.","The Sechons de Chevre pairs wonderfully with the Grand Mas Lansac Rosé, combining the fruity delicacy of the rosé with the luscious creaminess of the goat cheese. This pairing is perfect for indulgent moments, offering a subtle and refreshing harmony.",0,35
99064698,99041867,"Le Sechons de Chèvre se marie à merveille avec le vin AOP Folie en Provence 2023 COT, créant une harmonie entre ses notes fruitées et herbacées et la richesse du fromage. Ce pairing allie subtilement l'acidité fraîche du vin et les nuances douces du cheese pour un équilibre raffiné.","The Sechons de Chevre pairs wonderfully with the AOP Folie en Provence 2023 COT wine, combining its fruity and herby notes with the creaminess of the cheese. This pairing harmoniously balances the wine's fresh acidity and the cheese's soft, nutty flavors for a refined experience.",0,36
99010236,99041867,"Le Sechons de Chèvre, avec sa texture onctueuse et ses notes herbeuses, s'accorde parfaitement avec le LAGOY VIN ROSE IGP Alpilles BI. Leur mariage met en valeur les nuances aromatiques du rosé tout en apportant une dimension saline et herbacée au fromage.","The Sechons de Chèvre, with its luscious texture and herby notes, pairs beautifully with the LAGOY VIN ROSE IGP Alpilles BI. Their union enhances the aromatic complexity of the rosé while adding a touch of saltiness and herbs to the cheese.",0,37
99064698,19315996,"Le fromage Félix St Marcel et le vin AOP Folie en Provence s'accordent à merveille, alliant la douceur pétillante du fromage aux arômes fruités et herbacés du vin.","The Félix St Marcel cheese pairs wonderfully with the AOP Folie en Provence wine, harmonizing its sweet, nutty flavor with the wine's dark fruit and herbal complexity.",0,38
99066408,19315996,"Ce fromage, avec ses saveurs douces et pétillantes, se marie parfaitement au vin subtil et équilibré, révélant des nuances d'agrumes et de miel. Leur alliance met en valeur les arômes fruités et vanillee de chaque part.","The cheese's nutty, earthy notes harmonize beautifully with the wine's rich, velvety texture, enhancing its blackcurrant and graphite nuances for a sophisticated pairing.",0,39
99016913,19315996,"Ce mariage entre le fromage Félix St Marcel et le vin Alpilles Bio Tradition est une véritable explosion de saveurs complémentaires. Leur alliance harmonieuse met en valeur les notes de noisette et de fruits rouges du fromage, tandis que le vin apporte une complexité fruitée et terreuse qui se marie parfaitement avec sa douceur.","Indulge in the perfect pairing of Félix St Marcel cheese and Alpilles Bio Tradition wine, where their rich flavors complement each other seamlessly. The nutty, earthy tones of the cheese perfectly balance the fruity depth and subtle minerality of the wine, creating a harmonious and memorable experience.",0,40
99016137,19315996,"Ce fromage et ce vin forment un duo parfait, où la douceur pétillante du Félix St Marcel se marie à merveille avec la structure élégante et les nuances subtiles du MAS DE LA DAME RESEVE DU RGE. Un véritable régal pour les papilles, où chaque bouchée est une explosion de saveurs harmonieuses.","This cheese and wine pairing is a match made in heaven, as the creamy, nutty richness of Félix St Marcel beautifully complements the elegant structure and subtle complexity of MAS DE LA DAME RESEVE DU RGE. A perfect union of flavors that elevates every sip and bite.",0,41
99016137,43439418,Ce Crottin de Chavignol AOP se marie à merveille avec le Mas de la Dame Réservé du RGE. Leur équilibre respectif de douceur et de vivacité renforce la complexité des arômes.,"Pair the luscious Crottin de Chavignol AOP with the bold Mas de la Dame Réservé du RGE for a harmonious match. The wine's dark fruit and spice complement the cheese's herby notes, creating a rich and balanced experience.",0,42
52344335,43439418,"Ce pairing subtil et raffiné met en harmonie le Crottin de Chavignol AOP, avec sa texture crémeuse et ses arômes d'herbes et de fruits secs, et le vin Cabernet d'Anjou RS ExClub, qui apporte une douceur fruitée et des nuances épicées.","This pairing elegantly combines the luscious tanginess of the Crottin de Chavignol AOP with the rich fruity notes and subtle sweetness of the Cabernet d'Anjou RS ExClub, creating a dynamic balance between creaminess and acidity.",0,43
99037388,43439418,"Le Crottin de Chavignol AOP se marie parfaitement avec le Val de l'Oule Blanc Plaisir, offrant une harmonie entre sa texture crémeuse et son parfum d'herbes, et les notes fruitées et minérales du vin pétillant.","The Crottin de Chavignol AOP pairs wonderfully with the Val de l'Oule Blanc Plaisir, creating a perfect balance between its creamy texture and herby aroma, and the wine's fruity and mineral notes.",0,44
52341245,43439418,"Ce Crottin de Chavignol AOP se marie parfaitement avec le vin AOP CDR Prestige, offrant un équilibre entre la douceur crémeuse du fromage et la richesse épicée du vin. Leurs arômes respectifs de fruits secs et de cassis s'accordent pour une expérience gustative harmonieuse.","The Crottin de Chavignol AOP pairs wonderfully with the AOP CDR Prestige wine, balancing the creamy subtlety of the cheese with the bold spice and dark fruit notes of the wine for a rich, harmonious pairing.",0,45
1.21212E+12,43439418,"Le Crottin de Chavignol AOP se marie parfaitement avec le MAS SAINTE BERTHE LA CHAPELLE, où les notes fruitées et épicées du vin mettent en valeur la douceur crémeuse du fromage, créant un équilibre harmonieux.","The Crottin de Chavignol AOP pairs wonderfully with the MAS SAINTE BERTHE LA CHAPELLE, where the wine's fruity and spicy notes complement the creamy texture of the cheese, enhancing each bite with rich complexity.",0,46
99056669,19026731,"L'Étoile Quercy Pave du Lot et le vin rosé IGP Alpilles Tradition s'accordent parfaitement, offrant une harmonie de saveurs où la douceur du fromage se marie avec la fraîcheur du vin.","The Etoile Quercy Pave du Lot cheese pairs wonderfully with the light-bodied IGP Alpilles Rose Tradition wine, balancing their flavors and enhancing each other's complexity.",0,47
99037387,19026731,"L'Étoile Quercy Pave du Lot, avec son croquant et sa douceur, est idéalement accompagné par le Val de L'Oule Rosé Tendresse qui met en lumière ses arômes fruités et équilibre son acidité légère.","The bold, earthy flavor of Etoile Quercy Pave du Lot pairs excellently with the refreshing Val de L'Oule Rosé Tendresse, whose fruity notes complement its creaminess for a delightful taste experience.",0,48
99016142,19026731,"L'Étoile Quercy Pave du Lot, avec sa texture douce et légèrement acidulée, se marie parfaitement au frais Grand Mas de Lansac Blanc. Ce pairing met en valeur les nuances fruitées et minérales du vin tout en apportant une saveur équilibrée.","The bold flavor of the Etoile Quercy Pave du Lot pairs wonderfully with the vibrant citrus notes and crisp finish of Grand Mas de Lansac Blanc, creating a harmonious balance between rich and refreshing.",0,49
99005260,19026731,"L'Étoile Quercy Pave du Lot, un fromage frais et légèrement acidulé à pâte molle, se marie parfaitement avec le rosé Gris de Rose IGP Var. Ce vin perlé et fruité apporte une清新 qui met en valeur la douceur du fromage tout en équilibrant son côté croquant.","The fresh and tangy Etoile Quercy Pave du Lot cheese pairs beautifully with the vibrant Gris de Rose IGP Var rosé. This sparkling wine's crisp acidity complements the cheese's creamy texture, creating a harmonious balance between fruitiness and mineral notes.",0,50
99064698,19026731,"Ce mariage entre le fromage Etoile Quercy et le vin Folie en Provence est une alliance de douceur et de structure, où la richesse du fromage se marie parfaitement avec l'équilibre fruité et herbacé du vin.","The pairing of Etoile Quercy cheese with Folie en Provence wine is a bold union of flavors, where the earthy depth of the cheese complements the rich, fruity complexity of the wine beautifully.",0,51
99037387,99060040,"Le Ventoux se marie à merveille avec le rosé VAL DE L OULE ROSE TENDRESSE, où la douceur épicée du fromage révèle les nuances fruitées et florales du vin.","LE VENTOUX pairs wonderfully with VAL DE L OULE ROSE TENDRESSE, where the cheese's spicy notes complement the wine's vibrant citrus and floral bouquet for a refreshing pairing.",0,52
99020444,99060040,"Le fromage LE VENTOUX, avec ses nuances épicées et aromatiques, se marie parfaitement au COTES DE PROVENCE CŒUR ROSE. Ce rosé, frais et fruité, met en valeur la complexité du fromage tout en apportant une touche de douceur et de vivacité.","The bold and creamy LE VENTOUX cheese pairs harmoniously with the bright and refreshing COTES DE PROVENCE CŒUR ROSE. The wine's strawberry notes complement the cheese's spicy character, creating a balanced and vibrant pairing.",0,53
99040655,99060040,"Le fromage Le Ventoux se marie parfaitement avec le vin VENTOUX SECRET DE TRUFFE ROUGE. Les nuances épicées et aromatiques du fromage s'accordent subtilement avec les arômes de truffe rouge et de fruits mûrs du vin, créant une harmonie complexe et riche.","The spicy and aromatic notes of LE VENTOUX cheese complement the dark berry and truffle undertones of VENTOUX SECRET DE TRUFFE ROUGE wine, creating a bold yet balanced pairing that enhances both flavors.",0,54
52339397,99060040,"Ce fromage à pâte ferme se marie parfaitement avec ce vin rouge corsé, mettant en valeur ses nuances épicées et aromatiques subtiles.","This firm goat cheese pairs exceptionally well with the full-bodied red wine, enhancing its spicy and aromatic characteristics.",0,55
52337602,99060040,"Le Ventoux, un fromage à pâte ferme aux nuances épicées, s'accorde parfaitement avec ce vin rouge corsé et complexe, offrant une explosion de saveurs en harmonie.","The LE VENTOUX goat cheese pairs wonderfully with this robust Cabernet Sauvignon, as their bold and complex profiles complement each other, creating a delightful harmony of flavors.",0,56
99056669,99041863,"Le Banon Feuille, un fromage doux et délicat, se marie parfaitement avec le vin rosé IGP Alpilles Tradition, offrant une harmonie entre sa croûte légèrement cendrée et son parfum floral.","The delicate Banon Feuille cheese pairs wonderfully with the refreshing IGP Alpilles Rosé Tradition wine, enhancing each other with their subtle flavors and textures.",0,57
99037387,99041863,"Le Banon Feuille, un fromage doux et délicat à la croûte cendrée, se marie parfaitement avec le rosé Val de L'Oule Tendresse. Ce pairing met en valeur les notes fruitées et herbacées du fromage tout en apportant une fraîcheur équilibrée par la douceur du vin.",The delicate Banon Feuille cheese pairs wonderfully with the refreshing Val de L'Oule Rosé Tendresse. This combination enhances the subtle herbal and fruity notes of the cheese while balancing the wine's crisp acidity for a delightful pairing.,0,58
99005260,99041863,"Ce pairing met en harmonie le fromage Banon Feuille, avec sa douceur florale et sa texture crémeuse, et le rosé IGP Var Gris, qui apporte une fraîcheur fruitée et des notes subtiles de pétale de rose. Un mariage idéal pour les amoureux de saveurs équilibrées et rafraîchissantes.","This pairing brings together the delicate floral notes and creamy texture of Banon Feuille cheese with the refreshing fruity acidity and subtle rose petal hints of the IGP Var Gris rosé. A vibrant combination for those who enjoy balanced, invigorating flavors.",0,59
99016147,99041863,"Le Banon Feuille, avec sa douceur et son parfum floral, s'accorde admirablement au rosé Lansac, dont la fraîcheur et les notes fruitées apportent une légèreté idéale à ce mariage délicat.","The delicate Banon Feuille cheese pairs wonderfully with the refreshing Lansac Rosé, as its mild tang complements the wine's subtle fruity notes, creating a harmonious and light-hearted pairing.",0,60
99012318,99041863,"Le rosé Cuvée Evidence MAS LANSAC se marie parfaitement avec le Banon Feuille, sublimant ses notes florales et sa texture crémeuse grâce à son acidité pétillante.","The Rosé Cuvée Evidence MAS LANSAC pairs beautifully with the Banon Feuille, enhancing its delicate tang and creamy texture with its crisp fruitiness.",0,61
99064698,19026713,"Le ST FELICIEN TENTATION se marie à merveille avec l'AOP FOLIE EN PROVENCE, offrant une harmonie entre la douceur onctueuse du fromage et la complexité aromatique du vin. Ce pairing met en valeur les notes fruitées et pimentées du cheese, ainsi que les arômes de fruits roux et d'herbes provençales du vin.","The ST FELICIEN TENTATION pairs elegantly with the AOP FOLIE EN PROVENCE wine, combining the creamy richness of the cheese with the sophisticated fruit and herb notes of the wine. This pairing enhances both the fruity and peppery undertones of the cheese and the dark fruit complexity of the wine.",0,62
99066408,19026713,"Le ST FELICIEN TENTATION se marie à merveille avec LE GRIS MAS MARIGNAN, où la douceur fruitée du fromage se mêle aux nuances d'agrumes et de miel du vin. Un duo harmonieux qui met en valeur les saveurs riches et équilibrées des deux.","The ST-FELICIEN Tentation pairs elegantly with LE GRIS MAS MARIGNAN, where the cheese's fruity sweetness complements the wine's citrus and honey notes. A refined combination that highlights the rich and balanced flavors of both.",0,63
99060230,19026713,"Le ST FELICIEN TENTATION 200G, un fromage riche et onctueux, se marie parfaitement avec le LUBERON LES CLAPES, un vin rouge corsé et complexe. Ce duo met en valeur les notes fruitées et épicées du fromage tout en renforçant la richesse et l'arôme du vin.","The ST FELICIEN TENTATION 200G cheese, a rich and buttery cow's milk cheese, pairs wonderfully with the LUBERON LES CLAPES red wine, a full-bodied and sophisticated blend. This pairing enhances the fruity and peppery notes of the cheese while complementing the dark berry and smoky spice profile of the wine.",0,64
99016911,19026713,"Le ST FELICIEN TENTATION 200G, avec sa douceur onctueuse et sa saveur fruitée稍spicy, s'accorde parfaitement avec le vin TRADITION 2023 AOP BIO, qui offre des notes de fruits mûrs, d'épices douces et une structure équilibrée. Ce mariage met en valeur la richesse du fromage tout en sublimant les arômes du vin.","The ST FELICIEN TENTATION 200G, with its creamy richness and fruity peppery notes, pairs wonderfully with the TRADITION 2023 AOP BIO wine, offering a harmonious blend of ripe fruits, subtle spices, and a balanced structure. This pairing enhances the cheese's indulgence while elevating the wine's complexity.",0,65
99063709,19026713,"Le ST FELICIEN TENTATION 200G, avec ses notes fruitées et pimentées, se marie à perfection avec le GRAND MAS DE LANSAC RGE, un vin rouge corsé aux arômes de fruits noirs et épicés. Cette union met en valeur les saveurs complexes de chaque produit, créant un équilibre harmonieux.","The ST FELICIEN TENTATION 200G cheese, with its fruity and peppery notes, pairs wonderfully with the full-bodied GRAND MAS DE LANSAC RGE wine, offering a bold blend of dark fruits and spices. This combination enhances the rich flavors of both, resulting in a balanced and indulgent pairing.",0,66
99056669,99041859,"Le fromage Bouyguette, avec sa texture onctueuse et son goût subtil, se marie parfaitement au vin rosé IGP Alpilles Tradition. Ce duo allie la douceur du fromage à la fraîcheur et à la complexité aromatique du rosé.","The mild, floral Bouyguette cheese pairs beautifully with the fresh acidity and subtle complexity of the Alpilles Rosé Tradition. This pairing enhances both the creaminess of the cheese and the fruity notes of the wine.",0,67
99037387,99041859,"Le fromage Bouyguette se marie parfaitement avec le rosé Val de L'Oule Tendresse, offrant une harmonie entre sa douceur onctueuse et les notes fruitées du vin. Ce pairing ravira les amateurs de saveurs subtiles et équilibrées.","The Bouyguette cheese pairs wonderfully with the Val de L'Oule Rosé Tendresse, combining creamy richness with fruity brightness for a delightful balance of flavors.",0,68
99005260,99041859,"Le fromage Bouyguette, avec sa texture onctueuse et son goût subtil, se marie parfaitement avec le rosé perlé Gris de Rose, offrant une harmonie entre la douceur du fromage et la vivacité du vin.","Bouyguette cheese pairs wonderfully with the vibrant Gris de Rose rosé, balancing its buttery layers with the wine's floral and fruity notes, creating a delightful combination for any occasion.",0,69
99010236,99041859,"Le fromage Bouyguette se marie à merveille avec le LAGOY VIN ROSE, où la douceur de l'écume et les arômes fruités du vin créent une harmonie raffinée.","The Bouyguette cheese pairs wonderfully with the LAGOY VIN ROSE, where the creaminess of the cheese and the fruity notes of the wine create a refined harmony.",0,70
99012318,99041859,Un accord délicieux et harmonieux entre ces deux produits de qualité.,A delicious and harmonious pairing between these two quality products.,0,71
99064698,19676898,"Ce fromage onctueux et légèrement croquante se marie parfaitement avec le vin AOP Folie en Provence 2023 COT, offrant une harmonie subtile entre ses notes de noisette et de cannelle et les arômes fruités et herbacés du vin.","The bold, nutty cheese pairs wonderfully with the complex, fruity wine, creating a symphony of flavors that elevate each other for an unforgettable pairing.",0,72
